post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
3418,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3419,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3421,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3422,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
7501,312,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
429,68,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
1226,61,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
1228,61,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
1896,61,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
4434,155,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
4435,155,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
4436,155,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
4889,255,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
4893,255,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
5150,312,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
6954,282,1701,"Moco Museum Barcelona, Carrer de Montcada, Barcelona, Spain",41.3847,2.18156,museum,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18156"
